EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Type,Subtype,Description,Values,,,,,,,Latitude,Longitude,GPS HDOP
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_HR2_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Line Voltage (V),Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,HR2-180 461356 2024-07-29 173639.vdat,04773086-3519-4f4b-a8bb-26d9e83c8277,com.vemco.file.vrdp.vrhr2/1.0.0,53189,ORIGINAL
DIAG_HR2,2024-07-28 16:50:00,2024-07-28 16:49:59.94817,,-0.051829370,HR2-180,461356,68,20,0,5,0,0,0,0,12
TEMP,2024-07-28 16:50:00,2024-07-28 16:49:59.94817,,-0.051829370,HR2-180,461356,26.2,27.0
ATTITUDE,2024-07-28 16:50:00,2024-07-28 16:49:59.94817,,-0.051829370,HR2-180,461356,68
DIAG_HR2,2024-07-28 17:00:00,2024-07-28 16:59:59.945936,,-0.054063876,HR2-180,461356,68,20,0,3,0,0,0,0,12
TEMP,2024-07-28 17:00:00,2024-07-28 16:59:59.945936,,-0.054063876,HR2-180,461356,26.1,26.8
ATTITUDE,2024-07-28 17:00:00,2024-07-28 16:59:59.945936,,-0.054063876,HR2-180,461356,68
DIAG_HR2,2024-07-28 17:10:00,2024-07-28 17:09:59.943701,,-0.056298382,HR2-180,461356,69,20,0,7,0,0,0,0,12
TEMP,2024-07-28 17:10:00,2024-07-28 17:09:59.943701,,-0.056298382,HR2-180,461356,26.0,26.7
ATTITUDE,2024-07-28 17:10:00,2024-07-28 17:09:59.943701,,-0.056298382,HR2-180,461356,69
DIAG_HR2,2024-07-28 17:20:00,2024-07-28 17:19:59.941467,,-0.058532889,HR2-180,461356,68,20,0,7,0,0,0,0,12
TEMP,2024-07-28 17:20:00,2024-07-28 17:19:59.941467,,-0.058532889,HR2-180,461356,25.8,26.6
ATTITUDE,2024-07-28 17:20:00,2024-07-28 17:19:59.941467,,-0.058532889,HR2-180,461356,68
DIAG_HR2,2024-07-28 17:30:00,2024-07-28 17:29:59.939232,,-0.060767395,HR2-180,461356,68,20,0,6,0,0,0,0,12
TEMP,2024-07-28 17:30:00,2024-07-28 17:29:59.939232,,-0.060767395,HR2-180,461356,25.7,26.3
ATTITUDE,2024-07-28 17:30:00,2024-07-28 17:29:59.939232,,-0.060767395,HR2-180,461356,68
DIAG_HR2,2024-07-28 17:40:00,2024-07-28 17:39:59.936998,,-0.063001901,HR2-180,461356,68,20,0,3,0,0,0,0,12
TEMP,2024-07-28 17:40:00,2024-07-28 17:39:59.936998,,-0.063001901,HR2-180,461356,25.7,26.3
ATTITUDE,2024-07-28 17:40:00,2024-07-28 17:39:59.936998,,-0.063001901,HR2-180,461356,68
DIAG_HR2,2024-07-28 17:50:00,2024-07-28 17:49:59.934763,,-0.065236407,HR2-180,461356,69,20,0,3,0,0,0,0,12
TEMP,2024-07-28 17:50:00,2024-07-28 17:49:59.934763,,-0.065236407,HR2-180,461356,25.7,26.3
ATTITUDE,2024-07-28 17:50:00,2024-07-28 17:49:59.934763,,-0.065236407,HR2-180,461356,69
DIAG_HR2,2024-07-28 18:00:00,2024-07-28 17:59:59.932529,,-0.067470913,HR2-180,461356,69,20,0,7,0,0,0,0,12
TEMP,2024-07-28 18:00:00,2024-07-28 17:59:59.932529,,-0.067470913,HR2-180,461356,25.8,26.3
